City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
245,Eirunepe,BR,2021-10-24 12:42:14,-6.6603,-69.8736,87.3,57,70,3.98,broken clouds
246,Cantaura,VE,2021-10-24 12:42:14,9.3057,-64.3584,81.91,63,85,13.44,overcast clouds
247,Jeremie,HT,2021-10-24 12:42:15,18.65,-74.1167,81.86,72,68,3.06,broken clouds
248,Hay River,CA,2021-10-24 12:42:15,60.8156,-115.7999,39.18,87,75,8.05,broken clouds
249,Sitka,US,2021-10-24 12:42:15,57.0531,-135.33,46.29,66,20,9.22,few clouds
250,Cidreira,BR,2021-10-24 12:42:16,-30.1811,-50.2056,65.3,70,47,15.77,scattered clouds
251,Tsiroanomandidy,MG,2021-10-24 12:42:16,-18.7667,46.0333,94.93,16,8,5.39,clear sky
252,Warah,PK,2021-10-24 12:42:17,27.4481,67.7978,84.06,23,0,6.76,clear sky
253,Ustupo,PA,2021-10-24 12:42:17,9.1333,-77.9333,78.35,88,98,5.61,overcast clouds
254,Malinovoye Ozero,RU,2021-10-24 12:42:17,51.6753,79.7825,47.08,66,89,7.63,overcast clouds
255,Conceicao Do Araguaia,BR,2021-10-24 12:42:18,-8.2578,-49.2647,88.5,49,100,4.45,overcast clouds
256,Ugoofaaru,MV,2021-10-24 12:42:18,5.6667,73.0,82.49,72,100,11.99,overcast clouds
257,Adrar,MR,2021-10-24 12:42:18,20.5022,-10.0711,94.96,12,0,7.92,clear sky
258,Lorengau,PG,2021-10-24 12:42:19,-2.0226,147.2712,82.11,76,100,6.89,overcast clouds
259,Kant,IN,2021-10-24 12:42:19,27.8,79.8,76.53,60,21,4.07,few clouds
